pelicula,usuario,instante,voto
35,29,2007-07-25 00:01:32,5.0
35,342,2007-07-25 00:00:12,3.0
35,551,2007-07-25 00:04:58,5.0
35,785,2007-07-25 00:00:32,4.0
35,910,2007-07-25 00:00:35,3.5
35,1088,2007-07-25 00:00:40,3.0
35,1089,2007-07-25 00:02:25,4.0
35,1092,2007-07-25 00:00:42,3.0
35,1094,2007-07-25 00:00:22,3.5
35,1175,2007-07-25 00:04:51,5.0
35,1199,2007-07-25 00:02:18,5.0
35,1235,2007-07-25 00:05:32,5.0
35,1285,2007-07-25 00:00:47,4.0
35,1396,2007-07-25 00:00:18,4.5
35,1682,2007-07-25 00:13:39,4.0
35,1921,2007-07-25 00:04:55,4.0
35,1947,2007-07-25 00:01:27,4.0
35,2019,2007-07-25 00:02:32,4.0
35,2100,2007-07-25 00:00:00,3.5
35,2105,2007-07-25 00:00:58,4.0
35,2161,2007-07-25 00:01:01,4.5
35,2291,2007-07-25 00:05:13,4.0
35,2407,2007-07-25 00:00:52,4.0
35,2571,2007-07-25 00:04:07,4.5
35,2692,2007-07-25 00:02:15,4.5
35,2746,2007-07-25 00:01:28,4.5
35,2997,2007-07-25 00:02:23,5.0
35,3000,2007-07-25 00:05:01,5.0
35,3911,2007-07-25 00:01:04,4.5
35,4848,2007-07-25 00:04:54,4.0
35,4973,2007-07-25 00:03:50,4.5
35,5618,2007-07-25 00:04:00,5.0
35,6773,2007-07-25 00:13:24,4.0
35,55442,2007-07-25 00:13:29,4.0
35,68237,2007-07-25 00:13:45,3.5
35,68954,2007-07-25 00:13:27,4.0
35,96610,2007-07-25 00:13:54,3.0
4442,5903,2007-07-19 04:13:55,4.0
4442,44694,2007-07-19 04:10:34,4.5
4442,46578,2007-07-19 04:04:05,4.5
4442,47629,2007-07-19 04:06:23,4.5
4442,48394,2007-07-19 04:06:57,4.5
4442,48696,2007-07-19 04:05:36,4.0
4442,48738,2007-07-19 04:04:22,4.0
4442,49530,2007-07-19 04:03:43,4.0
10637,73319,2007-07-08 12:49:39,3.0
10637,73321,2007-07-06 12:04:56,4.0
10637,74154,2007-07-06 12:05:13,4.0
10637,74282,2007-07-06 12:04:09,4.0
10637,77561,2007-07-26 11:08:16,3.5
4141,65,2007-07-26 00:02:11,1.0
4141,135,2007-07-26 00:00:43,2.5
4141,327,2007-07-26 00:00:13,0.5
4141,836,2007-07-26 00:02:42,2.5
4141,1687,2007-07-26 00:03:15,3.0
